predecessor,successor
1,1
1,5
5,85
5,13
13,53
85,113
113,1813
1813,7253
13,17
17,277
277,1109
53,35
35,565
565,2261
113,301
301,1205
1813,2417
2417,38677
38677,154709
7253,4835
4835,77365
77365,309461
17,11
11,181
181,725
277,1477
1477,5909
1109,739
739,2957
2957,47317
35,23
23,373
373,1493
565,3013
3013,12053
2261,1507
1507,6029
6029,96469
301,401
401,6421
6421,25685
1205,803
803,12853
12853,51413
2417,6445
6445,25781
38677,51569
51569,825109
825109,3300437
154709,103139
103139,1650229
1650229,6600917
4835,3223
3223,12893
12893,206293
77365,103153
103153,412613
412613,6601813
309461,825229
825229,3300917
