iteration,successor,predecessor,p_binary,s_mod_k,alpha_i
1,1,7,111,1,6
1,1,455,111000111,1,12
1,1,29127,111000111000111,1,18
2,7,3,11,7,2
2,7,199,11000111,7,8
2,7,12743,11000111000111,7,14
2,455,101,1100101,5,1
2,455,6471,1100101000111,5,7
2,455,414151,1100101000111000111,5,13
3,199,1415,10110000111,1,6
3,199,90567,10110000111000111,1,12
3,199,5796295,10110000111000111000111,1,18
3,12743,11327,10110000111111,8,3
3,12743,724935,10110000111111000111,8,9
3,12743,46395847,10110000111111000111000111,8,15
3,101,359,101100111,2,5
3,101,22983,101100111000111,2,11
3,101,1470919,101100111000111000111,2,17
3,414151,184067,101100111100000011,7,2
3,414151,11780295,101100111100000011000111,7,8
3,414151,753938887,101100111100000011000111000111,7,14
4,1415,5031,1001110100111,2,5
4,1415,321991,1001110100111000111,2,11
4,1415,20607431,1001110100111000111000111,2,17
4,5796295,2576131,1001110100111100000011,7,2
4,5796295,164872391,1001110100111100000011000111,7,8
4,5796295,10551833031,1001110100111100000011000111000111,7,14
4,11327,2517,100111010101,5,1
4,11327,161095,100111010101000111,5,7
4,11327,10310087,100111010101000111000111,5,13
4,46395847,329926023,10011101010100100010110000111,1,6
4,46395847,21115265479,10011101010100100010110000111000111,1,12
4,46395847,1351376990663,10011101010100100010110000111000111000111,1,18
4,359,319,100111111,8,3
4,359,20423,100111111000111,8,9
4,359,1307079,100111111000111000111,8,15
4,1470919,2614967,1001111110011010110111,4,4
4,1470919,167357895,1001111110011010110111000111,4,10
4,1470919,10710905287,1001111110011010110111000111000111,4,16
4,184067,163615,100111111100011111,8,3
4,184067,10471367,100111111100011111000111,8,9
4,184067,670167495,100111111100011111000111000111,8,15
4,753938887,1340335799,1001111111000111110011010110111,4,4
4,753938887,85781491143,1001111111000111110011010110111000111,4,10
4,753938887,5490015433159,1001111111000111110011010110111000111000111,4,16
